Bulbasaur	[3,4,5,6/12,13,14,15/A-16-5,6]
Infernape	[0,2,3,4-B/0,8,9,10;0,5,6,7,10-10-B/0,14,15-L]
Piplup		[0,5,6,7,8-E/0,2,3,4-B/12,9,10,11-B/0,13,14-L]
Prinplup	[7,8,16-D-E/0,2,3,4,6-B/0,9,10,11,12-B]
Empoleon	[7,8-D/0,2,3,4,5,6-B/0,9,10,11,14-L-E]
Starly		[7,6/8,5,4,3-D-E/0,13,12,11-B]0,7,6,5,4,3-NL-E;0,9,8,7-7/0,13,12,11-B alt palette
Staravia	[0,12,5,4,3,13,2-D/0,8,7,14/0,11,10,9-LN]12,8,7,5,4,3,13,14,2-B/0,11,10,9-LN alternatively
Staraptor	[0,12,4,3,13-D/0,8,7,14-B-E/0,11,10,9-LN/16,15]
Bidoof		[0,9,10,11-B/0,6,12-D/14,16-L/13-L]
Bibarel		[0,4,5,6-B;12-5,5/0,13,14,15-D/0,8,9,0-DN]
Kricketot	[0,8,9,11-B/0,5,6,7-L-E/3,4/0,13,14,15-B]
Kricketune	[0,8,9,10-B/0,5,6,7,3,4/0,13,14,15-B]
Shinx		[0,4,3,2-B/0,11,10,9-DN/13,12-D/0,6,5-L]
Luxio		[0,4,3,2-B/0,11,10,9/14,13,12-D/6-L]
Luxray		[0,4,3,2-B/0,11,10,9-L-E/0,14,13,12,16-D-E/6,5-L]
Budew		[6,15,5,4,3-B/0,11,10,9-E/14,13,12-D]
Roserade	[0,10,9,8,7,6-B/0,13,12,11/0,16,15,14/5-L]
Cranidos	[0,3,12,13,14,15-B/0,5,6,7,8/0,10,11-B/A-4-13,14]
Rampardos	[0,8,9,10,11-B/0,2,3,4,5-B/0,6,7-L]
Shieldon	[0,6,7,8,9/14,13,2,3]
Bastiodon	[0,6,7,8/0,14,13,2,3,4,5-D/0,11,10,0-L/12]
Burmy		[0,10,11,12-B/6,7,8,9-D/0,14,15/4,5-L]
Wormadam	[15,10,11,12/0,3,4,5/6,7,8-D]
Mothim		[0,10,11,12/0,13,14,15/7,8,9-D]
Combee		[0,8,7,6,5/0,4,3,9/15,14,13-L]
Vespiquen	[0,8,7,6-DN/0,5,4,10,9,3/15,14,13-L]
Pachirisu	[0,8,9,10/0,5,4,3,2-L-E/0,11,12/0,14,13,0-LN]
Buizel		[0,2,4,5-B-E/0,12,13,0/0,6,7,0-L/15,16/A-14-7,4/A-3-2,4]
Floatzel	[0,2,4,5-B-E/0,6,7,14-L/0,12,13,5-B-E/0,15,0,16,0/A-3-2,4]
Cherubi		[0,0,3,13,14,15,4,16-B/0,8,9,10,11,12-B]
Cherrim		[0,12,13,14,15,16-B-E/0,4,5,6,7-B/0,8,9,10,11]
Shellos		[0,2,3,4,5,9,10,14/0,11,12,13/0,6,7,8-E]
Gastrodon	[0,2,3,4,5/0,6,7,8-B/0,11,12,13-E]
Ambipom		[0,3,5,6-B/0,7,8,9,11,14-NL/0,12,13,14-E/A-4-3,5]
Drifloon	[0,10,9,8,7,6/0,13,12,11/4,3-L-E]
Drifblim	[0,11,10,9,8,7,6-E/0,14,13,12/4,3-L-E/0,16,15,0-DN]
Buneary		[0,5,4,3-B/0,10,9,8-L/0,14,13,12]
Lopunny		[0,5,4,3-B/0,10,9,8,7-L-E/14,13,12]
Mismagius	[0,11,10,9-B/0,5,4,3-E/0,13,12/15,14-D]
Honchkrow	[0,4,3,2/0,14,13,12,11/0,7,6,5-D/0,10,9,8]
Glameow		[0,6,5,4,3,2-B-E/0,12,11,0/8/9/A-10-3]multi-colored eyes are difficult
Purugly		[0,6,5,4,3,10,9/15,14,13,0-L/8,7-DN/0,12,11,0/0,2-D-E]
Chingling	[0,9,10,11,12,13-B/0,6,7,8-LN/0,4,5-L]
Stunky		[0,4,5,6-B-E/0,8,9,10/0,14,16]
Skuntank	[0,4,5,6-B/0,8,9,10/14,16]
Bronzor		[0,3,4,5,6,7-LN/0,8,9,0-DN]
Bronzong	[0,3,4,5,6,7,14-LN/0,8,10,0-DN/12/A-9-8,10/A-13-12,6]
Bonsly		[12,11,10,9-LN/0,16,15,0-L/13-D/0,8,7,6,5]
Mime Jr.	[0,7,9,11-B/0,14,15,16/12,10-B/3,4,5-L/A-8-7,9]
Happiny		[0,11,12,13-DN/0,14,15,16]
Chatot		[0,4,5,6/0,11,12,13,14-B/0,7,8,9/0,2,3,0]
Spiritomb	[0,8,9,10,11-B/0,4,5,6/0,12,13,14,15/0,2,0/A-3-2,4]
Gible		[0,2,3,4,5-B/0,14,15,0/0,6,7,0/0,9,10]
Gabite		[0,2,3,4,5-B-E/0,9,10,0/0,6,7,8-DN/11,12-L]
Garchomp	[0,2,3,4,5-B/0,11,12,0/0,6,7,8-B/0,9,10]
Munchlax	[0,2,3,4,5-B/0,6,7,8-L]
Riolu		[0,3,4,5-DN/0,13,14,15-D-E/0,6,7/0,11,12-L/0,8,9]
Lucario		[0,3,4,5-B/0,12,13,14,15-D-E/6,7/0,8,9,0]
Hippopotas	[0,5,4,12/0,11,10,9,2-D-E]
Hippowdon	[0,13,12,11,15-D/2,8,7,6/0,10,9,3-D]
Skorupi		[0,4,5,6-DN/0,8,9,10-D/11,12]
Drapion		[0,3,4,5-DN/0,6,7,11,8,2-D-E/0,12,13-LN]0,3,4,5,6,7,8,11,2-B-E/0,15,16,12,13-B alternate version
Croagunk	[0,6,7,8,9/0,4,5-D/0,12,13,14-DN/10,11-B]
Toxicroak	[0,6,7,8,9-B/0,4,5-D/0,12,13,14-B/10,11-DN]
Carnivine	[0,8,7,6-B/0,4,3,2/0,11,10,0/0,14,13,12-B]
Finneon		[0,11,10,9,8-B/0,3,4,2-B/14,13,12-D]
Lumineon	[0,11,10,9,8-B-E/0,13,12-D/0,3,2]
Mantyke		[0,3,4,5,6,7-D/0,11,12,13,14,15-L/0,9,10]
Snover		[0,12,13,14-L/0,3,4,5,6,2-B-E/0,8,9,10]
Abomasnow	[0,9,10,11,12,13-L-E/0,3,4,5,6,7,2-B-E/14,15,16-LN]
Weavile		[0,4,6,7-LN/0,8,9,10,11/14,15-DN/A-5-4,6]
Magnezone	[0,9,8,7-DN/5,4,2,3-D/0,14,15,13-LN/0,12,11]
Lickilicky	[0,11,12,13,14,15-B/0,5,6,0/0,7,8,9,10-DN/3,4-L]
Rhyperior	[0,12,13,14,15-D/0,8,9,10,11-B/3]
Tangrowth	[0,2,3,4,5-DN/0,6,7,8-DN/14,13-D]
Electivire	[0,6,7,8,9-DN/0,12,13,14-DN/0,10,11-D]
Magmortar	[0,12,11,10-L/0,16,8,15,7,6-LN/0,3,2-D-E/0,14,13-L]
Togekiss	[0,11,12,13,14-L-E/0,2,3,4/0,5,6,7]
Yanmega		[3,4,5,6/0,10,7,8,9-DN/0,14,15,0-D]
Leafeon		[0,11,12,13,14,15,16-E/7,8,9,10-B/4,5,6-D]
Glaceon		[11,12,13,14,0,5-B/0,0,8,9,4,10-B]
Gliscor		[0,3,4,5,6,7-B/0,8,9,10-DN/15,16,2-D/11,12-DN/14-D]
Mamoswine	[0,8,9,2,3,4,5-D/0,6,7,0/13,14/0,10,11,12-L]
Porygon-Z	[0,3,4,5,6,7/0,9,10,11,12/13,14,15-DN]
Gallade		[0,13,14,15-B/0,6,7,8/0,10,11,12/3,4,5-L-E]
Probopass	[0,7,6,5,4,3-B/0,10,11-D/0,2-D-E/0,16,15,14,13,12-B]
Dusknoir	[0,3,4,5,6-B/0,9,10-D/0,12,13,14-DN/15-L]
Froslass	[0,4,0,5-L-E/0,6,-D-E/0,7,8,9-B/0,10,11-L/0,15,16,0-D/0,12,13,14]
Rotom		[0,2,3,4,5-B/0,6,7,8-L/11,12-B]
Uxie		[0,2,3,4,5-B/0,9,10,11,12-DN-E/0,6,7,0]
Mesprit		[0,2,3,4,5-B/0,9,10,11,12-DN-E/0,6,7,8/13,14-B]
Azelf		[0,2,3,4,5-B/9,10,11,12-DN-E/0,6,7,8/13,14-B]
Dialga		[2,3,6,7,8,9-B/0,11,12,13,14/4-L/5]
Palkia		[10,11,2,3,4,6,12,13,14-B/5,7-B/0,8,9-L]
Heatran		[0,6,5,4,3,2-B/0,13,12,11,10,9-B/7,8/0,15-D-E/0,16-D-E]
Regigigas	[0,7,6,5,4-L/0,11,10,9-B/0,13,12,3-D/15/14/16]
Giratina	[0,7,6,5/0,4,3-D/0,14,13,12-B/0,11,10,9,8-L]
Cresselia	[0,7,6,5,4-B/0,3,15,14,13-B/0,12,11,10,9,8-B]
Phione		[0,5,6,7,8,9,10-B/0,14-L/0,11,12,13]
Manaphy		[0,5,6,7,8,9,10-B/0,14,15-L/0,11,12,13]
Darkrai		[0,4,3,2-D/0,8,7,6/0,10,9,0/0,13,12,11-L]
Shaymin		[0,4,3,2-B/0,10,9,8-B/0,11-L/0,7,6,5-B/0,14,13,12-L]
Arceus		[0,2,3,4-B/0,9,10,11,12-B/0,13,14,0/0,15-L/6,7,8,5-D]
Victini		[0,2,4,5/0,6,7,8-LN/9,10-LN/A-3-4,5]
Snivy		[0,3,5,4-B/0,6,7-L/0,9,10,8-B/11,0,12,13]
Servine		[0,10,9,8-B/0,3,4,7,5-DN/0,15,14/]
Serperior	[0,11,10,9-D/0,13,12,0/0,8,7,6/0,16,0,15-LN]
Tepig		[0,11,10,7-LN/0,4,3-D/0,13,12,0/0,9,8,0]
Pignite		[0,11,10,7-LN/0,4,3-D/0,14,13,12/8/0,15,16,0]
Emboar		[0,10,9,8-LN/0,4,3-D/0,13,12,11/0,7,6,5/A-16-13,7]
Oshawott	[0,2,3,4-B/13,14,0,12-L-E/0,5,6,7-B/0,9,10,11,8-D-E]
Dewott		[0,2,3,4-B/0,9,10/0,15,12-D/0,5,6,11-L/7,8]
Samurott	[0,9,10,0/0,4,5,6/14,11,12,0-L]
Patrat		[10,3,4,5-D/13/0,6,7,8-L/0,9,11-DN]
Watchog		[0,3,4,5-D/0,11,12,0-B/0,6,7,8-L/0,9,10-DN]
Lillipup	[0,5,6,9-B-E/2,3,4-D-E/0,8,10-D/7]
Herdier		[0,5,11,6-B/0,2,3,4-B-E/8,9,10-D]
Stoutland	[0,3,16,4,5,6-B/0,10,11,15/0,7,8,9-D/0,2-L]
Purrloin	[0,6,7,8-D/0,2,3,4,5-L/0,11,12-LN/0,15,14,0-B/A-13-14]
Liepard		[ 0,6,7,8/0,2,3,4,5/0,9,10,0/0,11,12,0]
Pansage		[16,15,14,13/0,12,11,9/A-10-9,11]
Simisage	[11,9,8,7/0,15,14,12/A-13-14,12]
Pansear		[16,15,14,13/0,12,11,9/A-10,9,11]
Simisear	[11,8,9,10/0,12,13,15/A-14-13,15]
Panpour		[16,15,14,13,8/0,12,11,9/A-10-9,11]
Simipour	[2,3,4,5,6/0,8,9,11/A-10-9,11]
Munna		[15,3,5,6/0,7,8,9/0,10,11,0/0,12,13/A-4-3,5]
Musharna	[0,5,6,7/0,8,9,10/0,11,12,13,14/A-3-7]
Pidove		[2,3,4,0/0,5,6-D/0,8,9,10/0,11,12,13,0/A-14-2,3]
Tranquill	[2,3,4,0/0,5,7-D/A-6-2,3//0,10,12/A-11-3,4]
Unfezant	[0,2,3,4/0,5,7-D/0,10,11,6-B-E/9]
Blitzle		[0,5,4,3-D-E/0,16,15,14,13-L/0,7,6-L/0,8,9-L]
Zebstrika	[0,5,4,3,11-D-E/0,16,15,14,13,12-L/0,7,6-L/0,8,9-L]
Roggenrola	[0,8,9,10/0,7,6,5/0,2,3,4]
Boldore		[0,8,9,10/5,6,12,7/0,2,3,4]
Gigalith	[0,8,9,10,11/4,5,6,7/0,2,3,0/0,12,13-D]
Woobat		[0,2,3,5-LN/0,14,15,0-LN/0,6,7,8/0,10,9/A-11-2,3]
Swoobat		[0,3,7,12-B/13,5,2-D/0,8,9,10-B/0,14,16,15-L]
Drilbur		[0,5,4,3/0,7,6,0/0,9,10/0,15,14,13-L/0,11,12-B]
Excadrill	[0,4,3,5-B-E/0,7,6,12-B/0,9,10,11/0,15,14,13-L]
Audino		[0,6,7,8,9-L/0,10,11,12-LN/0,15/0,5,4,3-L]
Timburr		[0,5,4,3/0,8,7,6/14,13,12,11]
Gurdurr		[0,5,4,3/0,8,7,6/14,13,12,11/0,16,15]
Conkeldurr	[0,5,4,3/0,8,7,6/14,13,12,11/0,16,15]
Tympole		[0,4,3,2/0,11,10,9-L/0,7,6,5-D]
Palpitoad	[0,4,3,2/0,11,10,9-L/0,13,12,5-D/0,7,8,6]
Seismitoad	[0,4,3,2/0,7,8,6-L/0,13,12,5-D/0,9,10,0-DN]
Throh		[0,9,8,7/0,6,5,11,4;0,4,3,2-4]
Sawk		[0,10,13,9,8/0,7,6,5,14,12/0,4,3-D]
Sewaddle	[2,3,4,5/0,7,8,12/0,9,10,11]
Swadloon	[0,15,0,13,12/0,7,8,9/0,2,3,4/A-14-13,12]
Leavanny	[13,2,3,4/0,8,9,10/0,5,6,7/0,11,12]
Venipede	[14,6,5,4/0,12,11,10/0,3-D/A-13-14,6/A-15-6,3/9,8-DN]
Whirlipede	[0,6,7,13/0,2,5,0/0,4,12,15-D/A-8,2,6/A-10-5,7/A-14-12,13/9,3-DN]
Scolipede	[0,4,11,14,6/0,12,3,0/0,13,2,9-D/A-16-12,4/A-15-11,3/8-DN]
Cottonee	[13,14,0-L/3,4,5,6/0,8,9,10/0,11,12,0-LN]
Whimsicott	[0,12,13,14-LN/3,4,5,6/0,7,8,9/0,10,11,0-LN]
Petilil		[0,5,7,8/0,9,10,11/0,4,3,0-L/13,12/A-6-5,7]
Lilligant	[0,5,6,7/0,8,9,10/0,4,3,0-L/0,11,12,13;0,14,15,13-13/A-16-4,11]
Basculin	[0,7,8,9/0,10,11/0,4,5,6/0,13,14,0]blue basculin?
Sandile		[3,4,5,6/0,11,12,0/0,9,10-D]
Krokorok	[3,4,5,6/0,11,12,0/0,9,10-D]
Krookodile	[3,4,5,6/0,11,12,0/0,9,10,0-D]
Darumaka	[0,4,3,2/0,5,6,0/0,7,8,9,10]
Darmanitan	[0,2,3,4/0,5,6,7/0,10,12,11/0,8,9,0]
Maractus	[0,3,4,5-B/0,6,7,8/0,12,13,14-L/0,9,10,11,15]
Dwebble		[2,3,4,5/0,7,8,9/11/A-6-5,4/A-10-9,9/]
Crustle		[2,3,4,5/0,7,8,9,10/0,11,12,0]
Scraggy		[0,8,9,10/0,5,6,7/0,13,14,15]
Scrafty		[0,13,14,15/0,8,9,10/0,11,12,0]
Sigilyph	[0,4,5,14/0,6,7,0/0,8,9/10/A-11-10,8]
Yamask		[0,0,4,3/11,10,9,8/0,7,6,0-DN]
Cofagrigus	[0,0,12/0,6,7,8/0,13,15,0-DN/0,9,10,11]
Tirtouga	[0,8,7,6/0,13,12,11/0,14,0/A-15-12,11]
Carracosta	[6,7,8,10/0,14,12,11/0,5,0-L/A-9-8,10/A-13-14,12]
Archen		[0,13,14,15/0,7,8,9/0,10,11,12]
Archeops	[0,13,14,5/0,7,8,9/0,10,11,12/0,15,16,0]
Trubbish	[4,5,6,7,8/0,9,10,15/0,11,12,0/0,13,14,0]
Garbodor	[0,6,7,8/0,9,10,11/0,12,13,0/0,14,15,0]
Zorua		[0,13,14,15/0,5,6,0/2,3-D/0,10,11,0-LN]
Zoroark		[2,3,4,5/9,10,11,12/0,6,7,0-D/0,13,14,0-LN]
Minccino	[0,3,4,5/16,15,0-L/0,6,7,8]
Cinccino	[0,3,4,5/16,15,14,0-L/0,7,6,0/A-8-16]
Gothita		[0,7,6,2-D-E/0,5,4,3-B/0,9,8-L/0,12,11-L/0,14,13-B]
Gothorita	[0,7,6,2-D-E/0,5,4,3-B/0,9,8-L/0,12,11-L/0,14,13-B]
Gothitelle	[0,9,10,11-D/0,6,7,8-DN/0,12,13,0-LN/0,15,16/0,14,5-L]
Solosis		[12,11,10,9/0,5,4,3-LN/0,15,14,13/A-16-5,4]
Duosion		[12,11,10,9/0,5,4,3-LN]
Reuniclus	[0,11,10,9/0,5,4,3-LN/0,15,14,0/0,13,12,0]
Ducklett	[0,6,7,8,9,11,10-B/0,3,4,5]
Swanna		[2,0,10,12,13-L/0,6,7,8,9-LN/0,3,4,5]
Vanillite	[11,8,9,10-L/0,5,4,3,2/0,14,15,0-D/A-6-4,3/A-13-15,5]
Vanillish	[12,9,10,11-L/0,5,4,3,2/0,14,15,0-D/A-6-4,3]
Vanilluxe	[12,9,10,11-L/0,5,4,3,2/0,14,15,0-D/A-6-4,3]
Deerling	[0,13,14,15/6,0,7,8,12-L/0,9,10,11]form support?
Sawsbuck	[0,6,7,8/0,9,10-L/0,11-D/0,15,14/0,12,13-D]form support?
Emolga		[16,0,15,14,10-L/0,2,3,4,5-B/0,13,12,11-D/0,6,7,8-LN]
Karrablast	[6,5,4,3/0,15,14-D/0,11,10,9/0,8,7,0/0,12,0]
Escavalier	[0,6,7,0/0,4,5,8,9/0,13,14,15/0,10,11,12/0,16,0]
Foongus		[0,2,3,0-L/0,6,7,5/8,11-D/0,10,9,0-B]
Amoonguss	[0,5,4,3-L/0,14,13,0/0,9,8,11-D/0,6,7,0-B]
Frillish	[0,14,15,16-LN/0,12,13,0/9/0,8,0-D/0,4,5,6-LN/0,2,3-L/7]should have both genders colored
Jellicent	[0,12,13,14,15-LN/0,10,11,0-L/6/0,3,4,8-LN/L/0,7,5-L/14]should have both genders colored
Alomomola	[2,3,4,5,9,15/0,7,8,0/A-6-7,4/0,0,10,11/0,12,13,0]
Joltik		[0,4,5,6,7/0,9,8,10/A-3-6]
Galvantula	[0,5,6,7,8-B/2,3,4-D/0,10,11,12-B]
Ferroseed	[3,4,5,6,7/0,9,10,11/0,12,13,0]
Ferrothorn	[16,3,4,5,6,7/0,8,10,9/0,11,12,0]
Klink		[0,9,12,0-B/0,10,11,0/A-4-9,6/6,3,7-D] A more boring color scheme might be better, unless the sprites are modified // sprites look fine to me?
Klang		[A-9,15-B/0,10,11,12,13-B/0,4,8,0/6,3,7-D] See Klink
Klinklang	[0,10,15,0-B/0,11,12,13,9-B/0,4,14,0-B/0,5,6,0/8,3,7-D]See Klink
Tynamo		[0,11,12,13,14,15-L/7/0,8,9,10/A-6-7,11]
Eelektrik	[0,13,14,0-D/0,10,11,12/0,7,8,9/0,5,6,0]
Eelektross	[12,13,14-D/0,9,10,11/0,7,8/0,5,6,0,0]
Elgyem		[0,3,4,5,6/0,11,12/0,7,8/0,9,10]
Beheeyem	[0,3,4,6/0,10,11,12-DN/0,8,9/0,13,0/0,15,16,14-DN/A-5-4,6]
Litwick		[2,8,3,4/5,12,6,7/0,9,10]
Lampent		[0,4,5,0/9,10,0/0,12,13/15,2,3-L/A-7-9,10]
Chandelure	[0,7,3,0-D/8,9,10,0/12/0,5,6,0-L]
Axew		[0,3,4,6,7;0,5,6,7-7-LN/0,8,9,0/0,12,13-E-B/0,10,11,0]
Fraxure		[0,5,6,7/0,2,3,4/0,8,9,10/0,11,12,0]
Haxorus		[6,2,3,4/0,11,12,13/0,8,9,10]
Cubchoo		[0,9,8,7/16,15,0,14/0,13,12,11]
Beartic		[0,5,4,3/9,0,8,7,6/0,11,10,0-D]
Cryogonal	[13,14,15,16/8,7,9,5,3,4;10,6,4-4]
Shelmet		[0,2,3,4,5/0,9,10,11,12-L/0,6,7,0-LN]
Accelgor	[0,2,3,4-14-E/0,9,10,11/0,5,6,0/A-13-5,2]
Stunfisk	[0,2,3,0-DN/0,5,6,0-D/0,10,11,12/0,7,8,9/A-4-5,3-LN/A-16-10,2 ]
Mienfoo		[0,2,12,3,4,5/0,9,10,11,13]
Mienshao	[0,3,5,6,7/0,11,10,12/0,13,14,15/0,8/A-4-3,5]
Druddigon	[0,3,4,5/0,7,8,9/15,16,14/2]
Golett		[0,2,3,4,5-LN/0,6,7,8-D/0,12,13,14/9,10,0-L]
Golurk		[0,2,3,4,5-LN/0,6,7,8-D/0,12,13,14/0,9,10,11,0-L]
Pawniard	[0,8,9,10/0,11,12,13/0,6,7,0-DN]
Bisharp		[0,9,10,11/0,6,5,12-D/0,8,7,16-DN]
Bouffalant	[0,9,10,12,13,8-B;2,7,9-9/0,15,11-D/0,6,14-DN/0,3,4,5-D]
Rufflet		[0,5,6,7-LN/0,13,12,0/0,2,3,4/0,8,9,10-LN]
Braviary	[0,4,5,0-D/0,13,14,15/0,10,16/0,11,12,9/3]
Vullaby		[6,5,4,3-D/0,9,8,7/0,12,11,10-L-E/14]
Mandibuzz	[0,4,3,0-D/0,9,8,7/0,12,11,10-L-E/14/0,6,5,0/0,16,15,0]
Heatmor		[0,8,9,10/0,3,4,5/0,6,7,0/A-14-6,3/A-15-7,4]
Durant		[10,11,12,13,14,15/0,7,8]
Deino		[0,8,7,6/13,5,4,3/0,11,12,0]
Zweilous	[0,8,7,6/13,5,4,3/0,11,12,0/0,9,10,0]
Hydreigon	[0,8,7,6/0,5,4,3-D/0,13,12,11/0,9,10,0]
Larvesta	[0,7,8,9/0,4,5,6/0,2,3,0-DN]
Volcarona	[2,3,4,5/8,9,10,11/0,6,0,7,0-DN]
Cobalion	[0,12,11,10;0,9,8,11-11/0,5,6,7]
Terrakion	[0,12,13,14,15/0,3,4,5,6/0,9,10,11/0,7,8,0]
Virizion	[0,9,10,11,12-LN/0,13,14,15/0,6,7,8-LN/]
Tornadus	[0,8,7,6/0,11,10,9/0,4,3-L/0,14,13,12/16]
Thundurus	[0,8,7,6/0,11,10,9/0,4,3-L/0,14,13,12/16]
Reshiram	[0,3,0,4,5-L/0,8,9,10-L/6,7-LN] how does this look animated?
Zekrom		[3,4,5,6,7/8,9,10,11/0,14,15-LN] how does this look animated?
Landorus	[0,8,7,6/0,11,10,9/0,4,3-L/0,14,13,12/16]
Kyurem		[0,5,4,3/10,9,8,7,6/0,13,12,11-DN]
Keldeo		[0,11,12,13-L/16,4,5,0/0,8,15,9/0,6,7,14]
Meloetta	[5,4,3-D/10,11,12,14;13,14-14]
Genesect	[0,5,4,3-LN;0,7,6,4-4/0,10,9,8/0,15,14,13]
Deoxys-Attack[0,9,2,3,4-B/0,6,7,8-B/0,15,14-B]
Deoxys-Defense[0,9,2,3,4-B/0,6,7,8-B/0,15,14-B]
Deoxys-Speed[0,9,2,3,4-B/0,6,7,8-B/0,15,14-B]
Wormadam-Sandy[0,10,11,13,12/0,3,4,5/6,7,8-D/0,14,15]
Wormadam-Trash[0,10,11,12,13/0,3,4,5-E/6,7,8-D/0,14,15]
Shaymin-Sky	[0,4,3,2-B/0,10,9,8-B/0,11-L/0,7,6,5-B/0,14,13,12-L]
Giratina-Origin[0,7,6,5/0,4,3-D/0,14,13,12-B/0,11,10,9,8-L]
Rotom-Heat	[0,2,3,4,5-B/0,6,7,8-L/11,12-B]
Rotom-Wash	[0,2,3,4,5-B/0,6,7,8-L/11,12-B]
Rotom-Frost	[0,2,3,4,5-B/0,6,7,8-L/11,12-B]
Rotom-Fan	[0,2,3,4,5-B/0,6,7,8-L/11,12-B]
Rotom-Mow	[0,2,3,4,5-B/0,6,7,8-L/11,12-B]
Castform-Sunny[0,7,8,5,6-B/0,2,3,4-B/0,10,11-L/14,0-L/0,15-D-E]
Castform-Rainy[0,3,4,8,14-B/0,5,6,7-B/0,9,10-L/11,12-B/0,13-D-E]
Castform-Snowy[0,5,6,7,9,8-B/2,3,4-B/0,10,11-L/0,12-D-E]
Basculin-Blue[0,7,8,9/0,10,11/0,4,5,6/0,13,14,0]
Darmanitan-Zen[0,2,3,4/0,5,6,7/0,10,12,11,9]
Meloetta-Pirouette[5,4,3-D/9,10,11,12-B/0,13,14,15]
Kyurem-White[0,10,11,12-B/0,7,8,9-B/2,3,4-L-E/5-L]
Kyurem-Black[0,11,12,13-B/0,8,9,10-B/3,4,5-D-E/0,6,7-L]
Keldeo-Resolute[0,11,12,13-L/0,8,9-B/0,3,4-DN/0,5,6,7-B/0,15-DN/0,14-DN/0,16-D-E]
Tornadus-Therian[0,8,7,6/0,11,10,9/0,4,3-L/0,14,13,12/16/15]
Thundurus-Therian[0,8,7,6/0,11,10,9/0,4,3-L/0,14,13,12/16]
Landorus-Therian[0,8,7,6/0,11,10,9/0,4,3-L/0,14,13,12/16]
